Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,daily_sentiment_score,S&P 500,Dow Jones,NASDAQ 100,Nikkei 225,FTSE 100,DAX 30
2023-05-17,314.43,314.0,310.74,312.29,308657.0,24315012.0,0.16,4158.77,33420.77,13589.26,30093.59,7723.2,15951.3
2023-05-19,318.75,318.34,316.37,316.74,325654.0,27546701.0,-0.1,4191.98,33426.63,13803.49,30808.35,7756.9,16275.38
2023-05-20,320.03,319.29,316.92,317.36,331223.0,26403022.0,-0.06,4192.2,33379.95,13818.91,30901.17,7761.6,16258.25
2023-05-21,321.31,320.23,317.46,317.98,336792.0,25259343.0,-0.02,4192.41,33333.26,13834.32,30994.0,7766.3,16241.12
2023-05-22,322.59,321.18,318.01,318.6,342361.0,24115664.0,0.02,4192.63,33286.58,13849.74,31086.82,7771.0,16223.99
2023-05-23,322.72,315.26,315.25,320.03,430792.0,30797173.0,0.09,4145.58,33055.51,13672.54,30957.77,7763.0,16152.86
2023-05-24,316.5,313.85,312.61,314.73,353391.0,23384887.0,0.17,4115.24,32799.92,13604.48,30682.68,7627.1,15842.13
2023-05-25,326.9,325.92,320.0,323.24,549355.0,43301743.0,0.24,4151.28,32764.65,13938.53,30801.13,7570.9,15793.8
2023-05-26,333.4,332.89,323.88,324.02,509702.0,36630633.0,0.1,4205.45,33093.34,14298.41,30916.31,7627.2,15983.97
2023-05-27,333.98,332.47,325.54,326.82,512814.5,34848742.25,0.14,4205.47,33080.7,14312.56,31019.27,7600.92,15965.2
2023-05-28,334.57,332.05,327.2,329.62,515927.0,33066851.5,0.18,4205.49,33068.06,14326.7,31122.24,7574.65,15946.44
2023-05-29,335.16,331.63,328.86,332.43,519039.5,31284960.75,0.23,4205.5,33055.42,14340.84,31225.2,7548.38,15927.68
2023-05-30,335.74,331.21,330.52,335.23,522152.0,29503070.0,0.27,4205.52,33042.78,14354.99,31328.16,7522.1,15908.91
2023-05-31,335.94,328.39,327.33,332.29,494039.0,45950553.0,0.22,4179.83,32908.27,14254.09,30887.88,7446.1,15664.02
2023-06-01,333.53,332.58,324.72,325.93,412274.0,26773851.0,0.16,4221.02,33061.57,14441.51,31148.01,7490.3,15853.66
2023-06-02,337.5,335.4,332.55,334.25,392403.0,25873769.0,-0.04,4282.37,33762.76,14546.64,31524.22,7607.3,16051.23
2023-06-03,337.85,335.58,333.25,334.57,386480.33,24351530.33,-0.01,4279.51,33696.13,14549.93,31755.29,7604.87,16022.12
2023-06-04,338.21,335.76,333.96,334.9,380557.67,22829291.67,0.01,4276.65,33629.49,14553.21,31986.36,7602.43,15993.0
2023-06-05,338.56,335.94,334.66,335.22,374635.0,21307053.0,0.04,4273.79,33562.86,14556.5,32217.43,7600.0,15963.89
2023-06-06,335.37,333.68,332.17,335.33,339188.0,20396223.0,0.06,4283.85,33573.28,14558.09,32506.78,7628.1,15992.44
2023-06-07,334.49,323.38,322.5,331.65,615253.0,40717129.0,0.08,4267.52,33665.02,14303.29,31913.74,7624.3,15960.56
2023-06-08,326.64,325.26,323.35,323.94,373421.0,23277708.0,0.02,4293.93,33833.61,14484.54,31641.27,7599.7,15989.96
2023-06-09,329.99,326.79,324.41,324.99,367279.0,22528950.0,0.02,4298.86,33876.78,14528.36,32265.17,7562.4,15949.84
2023-06-10,330.69,328.48,324.66,326.19,375012.33,23121551.0,0.02,4312.22,33939.96,14613.67,32321.45,7565.17,15999.18
2023-06-11,331.4,330.16,324.91,327.38,382745.67,23714152.0,0.02,4325.57,34003.15,14698.99,32377.72,7567.93,16048.53
2023-06-12,332.1,331.85,325.16,328.58,390479.0,24306753.0,0.02,4338.93,34066.33,14784.3,32434.0,7570.7,16097.87
2023-06-13,336.98,334.29,330.39,334.46,356041.0,22951279.0,0.01,4369.01,34212.12,14900.85,33018.65,7594.8,16230.68
2023-06-14,339.04,337.34,332.81,334.34,456396.0,26003791.0,0.03,4372.59,33979.33,15005.69,33502.42,7602.7,16310.79
2023-06-15,349.84,348.1,337.2,337.48,594419.0,38899075.0,0.03,4425.84,34408.06,15185.48,33485.49,7628.3,16290.12
2023-06-16,351.47,342.33,341.95,351.32,481103.0,46551985.0,0.02,4409.59,34299.12,15083.92,33706.08,7642.7,16357.63
2023-06-17,349.12,341.26,340.43,348.32,466301.0,41507840.5,0.01,4404.37,34237.81,15080.48,33626.79,7624.35,16296.05
2023-06-19,344.43,339.12,337.38,342.31,436697.0,31419551.5,-0.01,4393.93,34115.18,15073.59,33468.2,7587.65,16172.9
2023-06-20,342.08,338.05,335.86,339.31,421895.0,26375407.0,-0.02,4388.71,34053.87,15070.15,33388.91,7569.3,16111.32
2023-06-21,337.73,333.56,332.07,336.37,386737.0,25117799.0,0.13,4365.69,33951.52,14867.45,33575.14,7559.2,16023.13
2023-06-22,340.12,339.71,333.34,334.12,374340.0,23556764.0,-0.07,4381.89,33946.71,15042.32,33264.88,7502.0,15988.16
2023-06-23,337.96,335.02,333.45,334.36,351843.0,23146901.0,-0.27,4348.33,33727.43,14891.48,32781.54,7461.9,15829.94
2023-06-24,337.34,332.88,331.8,334.15,365179.33,22604794.67,-0.09,4341.83,33723.19,14823.99,32753.96,7459.13,15824.31
2023-06-25,336.73,330.74,330.14,333.93,378515.67,22062688.33,0.09,4335.32,33718.95,14756.51,32726.39,7456.37,15818.69
2023-06-26,336.11,328.6,328.49,333.72,391852.0,21520582.0,0.27,4328.82,33714.71,14689.02,32698.81,7453.6,15813.06
2023-06-27,336.15,334.57,329.3,331.86,345545.0,24354110.0,0.35,4378.41,33926.74,14945.91,32538.33,7461.5,15846.86
2023-06-28,337.98,335.85,333.81,334.66,327478.0,20259523.0,0.39,4376.86,33852.66,14964.57,33193.99,7500.5,15949.0
2023-06-29,336.11,335.05,332.62,334.71,276397.0,16997042.0,0.19,4396.44,34122.42,14939.95,33234.14,7471.7,15946.72
2023-06-30,342.73,340.54,337.2,337.75,364616.0,26832756.0,0.21,4450.38,34407.6,15179.21,33189.04,7531.5,16147.9
2023-07-01,342.12,339.69,336.99,338.23,327255.67,22058068.0,0.23,4452.12,34411.22,15189.04,33377.14,7530.1,16125.61
2023-07-02,341.51,338.84,336.78,338.71,289895.33,17283380.0,0.25,4453.85,34414.85,15198.86,33565.23,7528.7,16103.33
2023-07-03,340.9,337.99,336.57,339.19,252535.0,12508692.0,0.27,4455.59,34418.47,15208.69,33753.33,7527.3,16081.04
2023-07-04,341.28,338.07,335.65,337.14,299640.0,15340535.0,0.29,4451.2,34353.56,15206.24,33546.02,7484.7,16009.31
