Date,CLOSE,TimeGPT-lo-50,TimeGPT-lo-80,TimeGPT-lo-90,TimeGPT-hi-50,TimeGPT-hi-80,TimeGPT-hi-90
2017-05-14,68.6,67.2,65.93,65.18,70.0,71.26,72.02
2017-05-21,67.96,66.56,65.3,64.54,69.36,70.63,71.38
2017-05-28,70.28,68.88,67.62,66.86,71.68,72.94,73.7
2017-06-04,71.93,70.53,69.26,68.51,73.33,74.59,75.35
2017-06-11,70.06,68.65,67.39,66.64,71.46,72.72,73.47
2017-06-18,70.66,69.26,68.0,67.25,72.07,73.33,74.08
2017-06-25,70.77,69.37,68.11,67.35,72.17,73.43,74.19
2017-07-02,68.35,66.95,65.69,64.93,69.75,71.01,71.77
2017-07-09,69.89,68.49,67.23,66.48,71.3,72.56,73.31
2017-07-16,73.11,71.71,70.45,69.7,74.52,75.78,76.53
2017-07-23,73.58,72.17,70.91,70.16,74.98,76.24,76.99
2017-07-30,73.03,71.63,70.37,69.61,74.43,75.69,76.45
2017-08-06,72.68,71.28,70.02,69.26,74.08,75.34,76.1
2017-08-13,73.16,71.76,70.5,69.74,74.56,75.82,76.58
2017-08-20,72.33,70.93,69.67,68.92,73.74,75.0,75.75
2017-08-27,72.73,71.32,70.06,69.31,74.13,75.39,76.14
2017-09-03,73.68,72.28,71.02,70.26,75.08,76.35,77.1
2017-09-10,74.63,73.23,71.97,71.21,76.03,77.29,78.05
2017-09-17,75.21,73.81,72.55,71.8,76.62,77.88,78.63
2017-09-24,73.73,72.33,71.07,70.31,75.13,76.4,77.15
2017-10-01,74.63,73.23,71.96,71.21,76.03,77.29,78.05
2017-10-08,76.38,74.98,73.72,72.97,77.79,79.05,79.8
2017-10-15,77.43,76.03,74.77,74.01,78.83,80.09,80.85
2017-10-22,78.75,77.34,76.08,75.33,80.15,81.41,82.16
2017-10-29,84.06,82.66,81.4,80.64,85.46,86.72,87.48
2017-11-05,84.49,83.09,81.83,81.07,85.89,87.16,87.91
2017-11-12,84.39,82.99,81.73,80.97,85.79,87.06,87.81
2017-11-19,82.56,81.16,79.9,79.14,83.96,85.22,85.98
2017-11-26,83.14,81.74,80.48,79.72,84.54,85.8,86.56
2017-12-03,82.32,80.92,79.65,78.9,83.72,84.98,85.74
2017-12-10,84.74,83.34,82.08,81.32,86.14,87.4,88.16
2017-12-17,86.96,85.56,84.3,83.54,88.36,89.62,90.38
2017-12-24,85.35,83.95,82.69,81.93,86.75,88.01,88.77
2017-12-31,85.33,83.93,82.67,81.92,86.74,88.0,88.75
2018-01-07,88.96,87.56,86.3,85.55,90.37,91.63,92.38
2018-01-14,89.4,88.0,86.73,85.98,90.8,92.06,92.82
2018-01-21,91.3,89.9,88.64,87.88,92.7,93.97,94.72
2018-01-28,93.13,91.73,90.46,89.71,94.53,95.79,96.55
2018-02-04,88.98,87.58,86.32,85.56,90.38,91.64,92.4
2018-02-11,88.03,86.63,85.37,84.61,89.43,90.69,91.45
2018-02-18,92.4,91.0,89.74,88.99,93.81,95.07,95.82
2018-02-25,94.74,93.34,92.08,91.32,96.14,97.41,98.16
2018-03-04,93.3,91.9,90.64,89.88,94.7,95.96,96.72
2018-03-11,96.37,94.97,93.71,92.95,97.77,99.03,99.79
2018-03-18,93.28,91.88,90.62,89.86,94.68,95.94,96.7
2018-03-25,91.41,90.01,88.75,87.99,92.81,94.08,94.83
2018-04-01,89.21,87.81,86.55,85.79,90.61,91.88,92.63
2018-04-08,90.73,89.33,88.07,87.31,92.13,93.39,94.15
2018-04-15,93.57,92.17,90.9,90.15,94.97,96.23,96.99
2018-04-22,95.16,93.76,92.5,91.75,96.57,97.83,98.58
2018-04-29,94.09,92.69,91.43,90.67,95.49,96.75,97.51
2018-05-06,95.66,94.25,92.99,92.24,97.06,98.32,99.07
2018-05-13,98.18,96.78,95.51,94.76,99.58,100.84,101.6
2018-05-20,97.18,95.78,94.52,93.77,98.59,99.85,100.6
2018-05-27,97.31,95.91,94.65,93.89,98.71,99.98,100.73
2018-06-03,102.07,100.67,99.41,98.65,103.47,104.73,105.49
2018-06-10,101.59,100.19,98.93,98.17,102.99,104.25,105.01
2018-06-17,99.69,98.29,97.03,96.27,101.09,102.35,103.11
2018-06-24,99.06,97.65,96.39,95.64,100.46,101.72,102.47
2018-07-01,99.37,97.97,96.71,95.95,100.77,102.03,102.79
2018-07-08,101.3,99.89,98.63,97.88,102.7,103.96,104.71
2018-07-15,105.09,103.68,102.42,101.67,106.49,107.75,108.5
2018-07-22,106.58,105.18,103.92,103.16,107.98,109.24,110.0
2018-07-29,106.15,104.74,103.48,102.73,107.55,108.81,109.56
2018-08-05,107.34,105.94,104.68,103.93,108.75,110.01,110.76
2018-08-12,108.24,106.84,105.58,104.82,109.64,110.9,111.66
2018-08-19,107.12,105.72,104.46,103.71,108.53,109.79,110.54
2018-08-26,109.24,107.84,106.57,105.82,110.64,111.9,112.66
2018-09-02,111.92,110.52,109.26,108.51,113.33,114.59,115.34
2018-09-09,108.33,106.93,105.67,104.91,109.73,110.99,111.75
2018-09-16,112.68,111.27,110.01,109.26,114.08,115.34,116.09
2018-09-23,113.92,112.51,111.25,110.5,115.32,116.58,117.34
2018-09-30,114.85,113.45,112.19,111.44,116.26,117.52,118.27
2018-10-07,111.29,109.89,108.63,107.87,112.69,113.95,114.71
2018-10-14,108.11,106.71,105.45,104.69,109.51,110.77,111.53
2018-10-21,108.7,107.3,106.04,105.28,110.1,111.36,112.12
2018-10-28,104.71,103.31,102.05,101.29,106.11,107.37,108.13
2018-11-04,106.71,105.31,104.05,103.3,108.12,109.38,110.13
2018-11-11,107.44,106.04,104.78,104.02,108.84,110.1,110.86
2018-11-18,105.64,104.24,102.97,102.22,107.04,108.3,109.06
2018-11-25,104.72,103.32,102.06,101.3,106.12,107.38,108.14
2018-12-02,111.74,110.34,109.08,108.32,113.14,114.41,115.16
2018-12-09,106.27,104.86,103.6,102.85,107.67,108.93,109.68
2018-12-16,103.93,102.52,101.26,100.51,105.33,106.59,107.34
2018-12-23,94.94,93.54,92.28,91.52,96.34,97.6,98.36
2018-12-30,100.78,99.38,98.12,97.36,102.18,103.44,104.2
2019-01-06,101.68,100.28,99.02,98.26,103.08,104.34,105.1
2019-01-13,102.22,100.82,99.56,98.81,103.63,104.89,105.64
2019-01-20,106.69,105.29,104.02,103.27,108.09,109.35,110.11
2019-01-27,105.91,104.51,103.24,102.49,107.31,108.57,109.33
2019-02-03,105.06,103.66,102.4,101.64,106.46,107.72,108.48
2019-02-10,105.76,104.36,103.1,102.34,107.16,108.43,109.18
2019-02-17,107.92,106.52,105.26,104.51,109.33,110.59,111.34
2019-02-24,111.94,110.54,109.28,108.52,113.34,114.61,115.36
2019-03-03,112.87,111.47,110.21,109.45,114.27,115.53,116.29
2019-03-10,111.93,110.53,109.27,108.52,113.34,114.6,115.35
2019-03-17,116.91,115.51,114.25,113.49,118.31,119.58,120.33
2019-03-24,117.45,116.05,114.79,114.04,118.86,120.12,120.87
2019-03-31,118.75,117.35,116.09,115.34,120.16,121.42,122.17
2019-04-07,120.32,118.91,117.65,116.9,121.72,122.98,123.73
2019-04-14,120.54,119.14,117.88,117.12,121.94,123.21,123.96
2019-04-21,124.29,122.89,121.63,120.87,125.69,126.95,127.71
2019-04-28,130.32,128.92,127.65,126.9,131.72,132.98,133.74
2019-05-05,128.15,126.75,125.48,124.73,129.55,130.81,131.57
2019-05-12,124.99,123.59,122.33,121.57,126.39,127.65,128.41
2019-05-19,127.33,125.92,124.66,123.91,128.73,129.99,130.74
2019-05-26,126.07,124.66,123.4,122.65,127.47,128.73,129.48
2019-06-02,120.84,119.44,118.18,117.42,122.24,123.5,124.26
2019-06-09,132.22,130.82,129.55,128.8,133.62,134.88,135.64
2019-06-16,132.7,131.3,130.04,129.29,134.11,135.37,136.12
2019-06-23,137.48,136.08,134.82,134.06,138.88,140.15,140.9
2019-06-30,135.15,133.75,132.49,131.73,136.55,137.82,138.57
2019-07-07,136.51,135.11,133.85,133.1,137.92,139.18,139.93
2019-07-14,139.69,138.28,137.02,136.27,141.09,142.35,143.1
2019-07-21,138.17,136.77,135.51,134.76,139.58,140.84,141.59
2019-07-28,140.42,139.02,137.76,137.0,141.82,143.08,143.84
2019-08-04,134.02,132.61,131.35,130.6,135.42,136.68,137.43
2019-08-11,135.99,134.58,133.32,132.57,137.39,138.65,139.4
2019-08-18,137.6,136.2,134.94,134.19,139.01,140.27,141.02
2019-08-25,135.1,133.7,132.44,131.68,136.5,137.76,138.52
2019-09-01,137.62,136.22,134.96,134.21,139.03,140.29,141.04
2019-09-08,138.45,137.05,135.79,135.04,139.86,141.12,141.87
2019-09-15,136.17,134.77,133.51,132.75,137.57,138.83,139.59
2019-09-22,139.94,138.54,137.28,136.52,141.34,142.61,143.36
2019-09-29,139.07,137.67,136.41,135.65,140.47,141.73,142.49
2019-10-06,137.63,136.23,134.97,134.21,139.03,140.29,141.05
2019-10-13,140.36,138.96,137.7,136.94,141.76,143.02,143.78
2019-10-20,138.02,136.62,135.36,134.6,139.42,140.68,141.44
2019-10-27,143.66,142.26,141.0,140.25,145.07,146.33,147.08
2019-11-03,144.16,142.76,141.5,140.74,145.56,146.82,147.58
2019-11-10,146.53,145.13,143.87,143.11,147.93,149.19,149.95
2019-11-17,149.19,147.79,146.53,145.77,150.59,151.85,152.61
2019-11-24,149.41,148.01,146.75,145.99,150.81,152.07,152.83
2019-12-01,152.25,150.85,149.59,148.83,153.65,154.92,155.67
2019-12-08,152.54,151.13,149.87,149.12,153.94,155.2,155.95
2019-12-15,154.35,152.95,151.69,150.94,155.76,157.02,157.77
2019-12-22,158.11,156.7,155.44,154.69,159.51,160.77,161.52
2019-12-29,158.17,156.77,155.5,154.75,159.57,160.83,161.59
2020-01-05,158.97,157.57,156.31,155.55,160.37,161.63,162.39
2020-01-12,162.0,160.6,159.33,158.58,163.4,164.66,165.42
2020-01-19,166.73,165.33,164.07,163.31,168.13,169.39,170.15
2020-01-26,164.3,162.9,161.63,160.88,165.7,166.96,167.72
2020-02-02,173.15,171.75,170.49,169.73,174.55,175.82,176.57
2020-02-09,187.25,185.84,184.58,183.83,188.65,189.91,190.66
2020-02-16,186.7,185.3,184.04,183.28,188.1,189.36,190.12
2020-02-23,173.9,172.5,171.24,170.48,175.3,176.56,177.32
2020-03-01,168.04,166.64,165.38,164.62,169.44,170.7,171.46
2020-03-08,155.87,154.47,153.21,152.45,157.27,158.54,159.29
2020-03-15,144.01,142.61,141.35,140.6,145.42,146.68,147.43
2020-03-22,136.45,135.05,133.79,133.03,137.86,139.12,139.87
2020-03-29,155.86,154.46,153.2,152.44,157.26,158.53,159.28
2020-04-05,160.83,159.43,158.16,157.41,162.23,163.49,164.25
2020-04-12,164.54,163.14,161.88,161.12,165.94,167.2,167.96
2020-04-19,178.15,176.75,175.49,174.73,179.55,180.81,181.57
2020-04-26,173.92,172.52,171.26,170.5,175.32,176.58,177.34
2020-05-03,176.81,175.41,174.15,173.4,178.22,179.48,180.23
2020-05-10,185.8,184.39,183.13,182.38,187.2,188.46,189.21
2020-05-17,184.38,182.98,181.72,180.96,185.78,187.04,187.8
2020-05-24,182.87,181.47,180.21,179.45,184.27,185.53,186.29
2020-05-31,182.17,180.77,179.5,178.75,183.57,184.83,185.59
2020-06-07,188.34,186.94,185.67,184.92,189.74,191.0,191.76
2020-06-14,189.27,187.87,186.61,185.85,190.67,191.94,192.69
2020-06-21,197.59,196.19,194.93,194.17,198.99,200.26,201.01
2020-06-28,197.67,196.27,195.01,194.25,199.07,200.33,201.09
2020-07-05,209.74,208.34,207.08,206.32,211.14,212.4,213.16
2020-07-12,210.38,208.97,207.71,206.96,211.78,213.04,213.79
2020-07-19,206.67,205.27,204.01,203.25,208.07,209.34,210.09
2020-07-26,202.62,201.22,199.96,199.21,204.03,205.29,206.04
2020-08-02,212.37,210.97,209.71,208.96,213.78,215.04,215.79
2020-08-09,210.78,209.37,208.11,207.36,212.18,213.44,214.19
2020-08-16,209.94,208.54,207.28,206.52,211.34,212.61,213.36
2020-08-23,214.01,212.61,211.35,210.59,215.41,216.67,217.43
2020-08-30,226.34,224.94,223.67,222.92,227.74,229.0,229.76
2020-09-06,207.41,206.01,204.75,204.0,208.82,210.08,210.83
2020-09-13,204.53,203.12,201.86,201.11,205.93,207.19,207.94
2020-09-20,202.38,200.98,199.72,198.97,203.79,205.05,205.8
2020-09-27,208.95,207.55,206.29,205.53,210.35,211.61,212.37
2020-10-04,209.04,207.64,206.38,205.63,210.45,211.71,212.46
2020-10-11,218.73,217.33,216.07,215.31,220.13,221.39,222.15
2020-10-18,216.7,215.3,214.04,213.28,218.1,219.37,220.12
2020-10-25,212.21,210.81,209.55,208.79,213.61,214.88,215.63
2020-11-01,202.25,200.85,199.59,198.83,203.65,204.92,205.67
2020-11-08,219.84,218.43,217.17,216.42,221.24,222.5,223.25
2020-11-15,215.94,214.54,213.28,212.52,217.34,218.6,219.36
2020-11-22,211.39,209.98,208.72,207.97,212.79,214.05,214.8
2020-11-29,213.6,212.2,210.94,210.18,215.0,216.26,217.02
2020-12-06,213.86,212.46,211.2,210.44,215.26,216.53,217.28
2020-12-13,213.95,212.55,211.29,210.54,215.36,216.62,217.37
2020-12-20,221.31,219.91,218.65,217.9,222.72,223.98,224.73
2020-12-27,224.83,223.43,222.17,221.41,226.23,227.49,228.25
2021-01-03,218.56,217.15,215.89,215.14,219.96,221.22,221.97
2021-01-10,218.62,217.22,215.96,215.2,220.02,221.28,222.04
2021-01-17,214.45,213.04,211.78,211.03,215.85,217.11,217.86
2021-01-24,228.54,227.14,225.88,225.12,229.94,231.2,231.96
2021-01-31,236.89,235.49,234.22,233.47,238.29,239.55,240.31
2021-02-07,242.3,240.9,239.63,238.88,243.7,244.96,245.72
2021-02-14,244.56,243.16,241.9,241.14,245.96,247.23,247.98
2021-02-21,238.07,236.67,235.41,234.65,239.47,240.74,241.49
2021-02-28,235.57,234.17,232.91,232.15,236.97,238.23,238.99
2021-03-07,229.28,227.88,226.61,225.86,230.68,231.94,232.7
2021-03-14,235.38,233.98,232.72,231.97,236.79,238.05,238.8
2021-03-21,233.87,232.47,231.21,230.46,235.28,236.54,237.29
2021-03-28,236.05,234.65,233.39,232.63,237.45,238.72,239.47
2021-04-04,246.97,245.57,244.3,243.55,248.37,249.63,250.39
2021-04-11,256.64,255.24,253.98,253.22,258.04,259.3,260.06
2021-04-18,259.9,258.5,257.24,256.48,261.3,262.56,263.32
2021-04-25,261.45,260.05,258.79,258.03,262.85,264.11,264.87
2021-05-02,252.96,251.55,250.29,249.54,254.36,255.62,256.37
2021-05-09,249.74,248.33,247.07,246.32,251.14,252.4,253.15
2021-05-16,245.9,244.5,243.24,242.49,247.31,248.57,249.32
2021-05-23,249.28,247.88,246.62,245.86,250.68,251.94,252.7
2021-05-30,249.32,247.92,246.66,245.91,250.73,251.99,252.74
2021-06-06,252.2,250.79,249.53,248.78,253.6,254.86,255.61
2021-06-13,258.41,257.01,255.75,255.0,259.82,261.08,261.83
