Date,CLOSE,TimeGPT-lo-50,TimeGPT-lo-80,TimeGPT-lo-90,TimeGPT-hi-50,TimeGPT-hi-80,TimeGPT-hi-90
2020-09-30,209.46,203.82,198.75,195.71,215.1,220.18,223.21
2020-10-31,212.35,206.71,201.63,198.59,217.99,223.06,226.1
2020-11-30,210.7,205.06,199.99,196.95,216.34,221.42,224.45
2020-12-31,218.73,213.09,208.01,204.97,224.37,229.44,232.48
2021-01-31,226.19,220.55,215.48,212.44,231.83,236.91,239.94
2021-02-28,241.1,235.46,230.38,227.35,246.74,251.81,254.85
2021-03-31,242.26,236.62,231.55,228.51,247.9,252.98,256.01
2021-04-30,265.38,259.74,254.66,251.62,271.02,276.09,279.13
2021-05-31,253.19,247.55,242.47,239.44,258.83,263.9,266.94
2021-06-30,273.74,268.11,263.03,259.99,279.38,284.46,287.5
2021-07-31,292.56,286.92,281.84,278.81,298.2,303.27,306.31
2021-08-31,302.99,297.35,292.28,289.24,308.63,313.71,316.75
2021-09-30,308.63,302.99,297.92,294.88,314.27,319.35,322.38
2021-10-31,319.78,314.14,309.06,306.02,325.42,330.49,333.53
2021-11-30,322.11,316.47,311.39,308.36,327.75,332.82,335.86
2021-12-31,323.31,317.67,312.59,309.56,328.95,334.02,337.06
2022-01-31,316.11,310.47,305.4,302.36,321.75,326.83,329.87
2022-02-28,305.9,300.26,295.18,292.15,311.54,316.61,319.65
2022-03-31,323.54,317.9,312.82,309.78,329.18,334.25,337.29
2022-04-30,298.93,293.29,288.21,285.18,304.57,309.64,312.68
2022-05-31,262.09,256.45,251.37,248.34,267.73,272.8,275.84
2022-06-30,258.57,252.93,247.85,244.81,264.21,269.28,272.32
2022-07-31,289.3,283.66,278.59,275.55,294.94,300.02,303.06
2022-08-31,267.9,262.26,257.19,254.15,273.54,278.62,281.66
2022-09-30,233.04,227.4,222.33,219.29,238.68,243.76,246.79
2022-10-31,237.87,232.23,227.16,224.12,243.51,248.59,251.62
2022-11-30,251.44,245.8,240.73,237.69,257.08,262.16,265.19
2022-12-31,235.94,230.3,225.22,222.19,241.58,246.65,249.69
2023-01-31,246.59,240.95,235.87,232.84,252.23,257.3,260.34
2023-02-28,246.58,240.94,235.87,232.83,252.22,257.3,260.33
2023-03-31,289.47,283.83,278.75,275.72,295.11,300.18,303.22
2023-04-30,314.98,309.34,304.26,301.22,320.62,325.69,328.73
2023-05-31,323.38,317.74,312.66,309.62,329.02,334.09,337.13
2023-06-30,320.46,314.82,309.75,306.71,326.1,331.18,334.22
2023-07-31,323.34,317.71,312.63,309.59,328.98,334.06,337.1
2023-08-31,322.4,316.76,311.68,308.65,328.04,333.11,336.15
2023-09-30,324.21,318.57,313.5,310.46,329.85,334.93,337.97
2023-10-31,319.25,313.61,308.54,305.5,324.89,329.97,333.01
2023-11-30,337.39,331.76,326.68,323.64,343.03,348.11,351.15
2023-12-31,336.93,331.29,326.21,323.18,342.57,347.64,350.68
2024-01-31,348.43,343.89,331.05,319.22,352.97,365.81,377.65
2024-02-29,350.36,342.01,324.3,306.25,358.72,376.43,394.48
2024-03-31,336.51,332.13,313.75,297.83,340.89,359.27,375.18
2024-04-30,324.98,319.61,293.19,263.5,330.35,356.77,386.47
2024-05-31,352.14,342.83,311.26,279.41,361.46,393.02,424.87
