Date,CLOSE,TimeGPT-lo-50,TimeGPT-lo-80,TimeGPT-lo-90,TimeGPT-hi-50,TimeGPT-hi-80,TimeGPT-hi-90
2014-03-02,38.15,36.51,35.04,34.16,39.79,41.26,42.14
2014-03-03,38.04,36.41,34.93,34.05,39.68,41.15,42.04
2014-03-04,37.91,36.27,34.8,33.91,39.54,41.02,41.9
2014-03-05,37.74,36.11,34.63,33.75,39.38,40.85,41.74
2014-03-06,38.18,36.54,35.07,34.19,39.82,41.29,42.17
2014-03-07,38.6,36.96,35.49,34.61,40.24,41.71,42.59
2014-03-08,38.59,36.95,35.48,34.6,40.23,41.7,42.58
2014-03-09,38.22,36.58,35.11,34.23,39.86,41.33,42.21
2014-03-10,38.09,36.46,34.98,34.1,39.73,41.2,42.08
2014-03-11,38.74,37.11,35.63,34.75,40.38,41.85,42.74
2014-03-12,38.4,36.77,35.29,34.41,40.04,41.51,42.39
2014-03-13,38.47,36.83,35.36,34.47,40.1,41.58,42.46
2014-03-14,38.25,36.62,35.14,34.26,39.89,41.36,42.24
2014-03-15,38.24,36.6,35.13,34.25,39.88,41.35,42.23
2014-03-16,38.2,36.56,35.09,34.21,39.84,41.31,42.19
2014-03-17,38.13,36.49,35.02,34.14,39.77,41.24,42.12
2014-03-18,38.95,37.32,35.84,34.96,40.59,42.06,42.95
2014-03-19,38.63,36.99,35.52,34.64,40.27,41.74,42.62
2014-03-20,38.47,36.84,35.36,34.48,40.11,41.58,42.47
2014-03-21,38.78,37.14,35.67,34.79,40.42,41.89,42.77
2014-03-22,38.53,36.89,35.42,34.54,40.16,41.64,42.52
2014-03-23,38.53,36.9,35.42,34.54,40.17,41.64,42.53
2014-03-24,38.38,36.75,35.27,34.39,40.02,41.49,42.38
2014-03-25,39.97,38.34,36.86,35.98,41.61,43.08,43.96
2014-03-26,39.65,38.01,36.54,35.66,41.29,42.76,43.64
2014-03-27,40.64,39.0,37.53,36.65,42.28,43.75,44.63
2014-03-28,40.59,38.95,37.48,36.6,42.23,43.7,44.58
2014-03-29,40.72,39.08,37.61,36.73,42.35,43.83,44.71
2014-03-30,40.83,39.19,37.72,36.83,42.46,43.94,44.82
2014-03-31,41.03,39.39,37.92,37.04,42.67,44.14,45.02
2014-04-01,40.79,39.16,37.68,36.8,42.43,43.9,44.79
2014-04-02,40.16,38.52,37.05,36.17,41.8,43.27,44.15
2014-04-03,39.77,38.14,36.66,35.78,41.41,42.88,43.76
2014-04-04,40.32,38.68,37.21,36.33,41.96,43.43,44.31
2014-04-05,40.74,39.1,37.63,36.75,42.38,43.85,44.73
2014-04-06,41.16,39.52,38.05,37.17,42.8,44.27,45.15
2014-04-07,41.38,39.74,38.27,37.39,43.02,44.49,45.37
2014-04-08,41.81,40.17,38.7,37.82,43.45,44.92,45.8
2014-04-09,41.76,40.13,38.65,37.77,43.4,44.87,45.75
2014-04-10,41.44,39.8,38.33,37.44,43.07,44.55,45.43
