Date,daily_sentiment_score
2023-03-16,0.09999997615814209
2023-03-18,0.11111108462015788
2023-03-21,0.10969944412891681
2023-03-22,0.005081559049672094
2023-03-23,0.07543563842773438
2023-03-24,-0.14207016448585355
2023-03-26,0.11821674449103219
2023-03-27,0.2521252257483346
2023-03-28,0.11535874535055722
2023-03-29,-0.005012224460470265
2023-04-01,0.22640512883663177
2023-04-03,0.14079473167657852
2023-04-04,0.060215278750374204
2023-04-06,0.09766798107712357
2023-04-07,0.005665200097220284
2023-04-08,0.712319552898407
2023-04-09,0.0
2023-04-11,-0.037142307861991554
2023-04-12,0.41348936988247764
2023-04-14,0.4658876657485962
2023-04-17,0.2159206649152244
2023-04-18,0.17963132687977382
2023-04-20,-0.1650222312001621
2023-04-23,0.0
2023-04-26,0.28390721917152406
2023-04-30,-0.17018926685506647
2023-05-01,-0.10554667976167467
2023-05-02,0.06581398844718933
2023-05-04,0.14040518339191163
2023-05-05,0.1224343729019165
2023-05-06,0.33333249886830646
2023-05-07,0.0
2023-05-08,0.059686412811279295
2023-05-11,-0.03525588512420654
2023-05-12,0.041293252082098095
2023-05-13,-0.9997928738594055
2023-05-15,0.22243252698925958
2023-05-16,0.06216276581607648
2023-05-17,0.1571292761833437
2023-05-18,-0.001927889883518219
2023-05-19,-0.09502700128053364
2023-05-20,-0.14283842699868338
2023-05-21,0.28571392808641705
2023-05-22,0.0202313790450225
2023-05-25,0.2387066897418764
2023-05-26,0.10498376269089549
2023-05-27,0.0
2023-05-29,0.22865717227642351
2023-05-30,0.2671837449073792
2023-06-01,0.1628925899664561
2023-06-02,-0.03638108571370443
2023-06-03,0.04995618625120683
2023-06-07,0.08494494828310879
2023-06-08,0.02324562602572971
2023-06-10,0.0
2023-06-11,-0.06814295053482056
2023-06-12,0.02495864806351838
2023-06-13,0.008856257971595316
2023-06-14,0.034360715084605746
2023-06-18,-0.11152803897857666
2023-06-20,-0.020946441756354437
2023-06-21,0.13353898173028772
2023-06-23,-0.26549312273661296
2023-06-24,0.0
2023-06-26,0.2709573695534154
2023-06-27,0.34837825641487585
2023-06-28,0.38915085882851574
2023-06-29,0.1915412649915025
2023-07-01,0.1383406420548757
2023-07-02,-0.0064754811200228605
2023-07-05,0.30506301978055167
2023-07-06,0.24643051432025048
2023-07-07,-0.004260287835047795
2023-07-08,0.0
2023-07-09,0.27933560950415476
2023-07-11,0.16242429674888142
2023-07-13,0.0723770302785954
2023-07-14,0.024305578019167925
2023-07-16,0.037432408332824706
2023-07-18,0.2985945946948473
2023-07-20,0.24149687237599315
2023-07-21,0.0026885814526501823
2023-07-23,0.0
2023-07-24,0.312529477633928
2023-07-26,0.2161205874549018
2023-07-28,0.07751762866973877
2023-07-29,-0.09119515120983124
2023-08-03,0.13280897366034017
2023-08-04,0.2115069165825844
2023-08-05,0.0
2023-08-06,0.14717577397823334
2023-08-08,0.1130488051308526
2023-08-09,0.22667495409647623
2023-08-10,0.30326492711901665
2023-08-11,-0.029391301028868732
2023-08-13,0.0
2023-08-14,0.07962096644484479
2023-08-15,0.025954986612002056
2023-08-16,0.080455232411623
2023-08-18,0.13526116950171335
2023-08-20,0.0
2023-08-21,0.288328535416547
2023-08-24,0.13546999061808868
2023-08-26,0.3097909688949585
2023-08-27,-0.14057350158691406
2023-08-29,0.2022057948289094
2023-08-31,0.05799197683147356
2023-09-01,0.05629411628169398
2023-09-02,0.0
2023-09-03,0.0
2023-09-04,-0.2246541801620932
2023-09-05,0.32440811528099905
2023-09-06,0.009967202857389288
2023-09-08,-0.00977658748626709
2023-09-09,0.0
2023-09-11,0.14941589299001193
2023-09-12,-0.040063291788101196
2023-09-13,0.15082545205950737
2023-09-15,0.014038254817326864
2023-09-16,0.11157809836523873
2023-09-19,0.2649603521122652
2023-09-20,0.028104383084509108
2023-09-21,0.06230613920423719
2023-09-22,0.012705050981961764
2023-09-25,0.012633319695790608
2023-09-26,0.04458602588131742
2023-09-27,0.1353606032946753
2023-09-28,0.2221015351159232
2023-09-29,0.16213585760282434
2023-10-02,0.1882775560502083
2023-10-03,0.059171249300746596
2023-10-04,0.03498313256672451
2023-10-06,0.021667214957150547
2023-10-07,0.1997848629951477
2023-10-09,0.032239663104216255
2023-10-11,-0.005258197967822735
2023-10-12,0.10061539709568024
2023-10-14,0.0
2023-10-15,0.19999973773956298
2023-10-16,0.19298384918106926
2023-10-18,0.09008959338471696
2023-10-19,0.14918482965893215
2023-10-20,0.20694872580076518
2023-10-22,-0.2816002539225987
2023-10-26,0.21284362017098118
2023-10-27,-0.021062014680920227
2023-10-29,0.0
2023-10-30,0.29178212320103364
2023-11-01,0.15920151472091676
2023-11-02,0.21932295731135776
2023-11-03,0.06280743413501316
2023-11-04,0.12049712985754013
2023-11-06,0.060596779982248945
2023-11-07,0.27759168829236713
2023-11-08,0.3500502693653107
2023-11-09,0.020583907142281532
2023-11-10,0.1745074369289257
2023-11-11,0.08333308498064677
2023-11-12,0.2222221162584093
2023-11-14,0.2816847011728107
2023-11-16,0.2609560248699594
2023-11-17,0.15623058912889012
2023-11-19,0.02988891800244649
2023-11-21,0.16861837377419342
2023-11-22,0.18510281205177306
2023-11-23,0.09141531959176064
2023-11-24,0.035204373873197116
2023-11-25,0.17644226901671467
2023-11-28,0.17591574868640383
2023-11-29,0.04691082040468852
2023-12-01,-0.08403295103241415
2023-12-03,0.19999828338623046
2023-12-05,0.08499237398306529
2023-12-06,0.12236307114362717
2023-12-07,0.025604103803634645
2023-12-10,0.0
2023-12-11,-0.02991460531185835
