Date,S&P 500,Dow Jones,NASDAQ 100,Nikkei 225,FTSE 100,DAX 30
2013-04-04,1559.97998046875,14606.1103515625,2794.919921875,12634.5400390625,6344.10009765625,7817.39013671875
2013-04-05,1553.280029296875,14565.25,2771.75,12833.6396484375,6249.7998046875,7658.75
2013-04-08,1563.0699462890625,14613.48046875,2786.1298828125,13192.58984375,6276.89990234375,7662.64013671875
2013-04-09,1568.6099853515625,14673.4599609375,2804.669921875,13192.349609375,6313.2001953125,7637.509765625
2013-04-10,1587.72998046875,14802.240234375,2859.2099609375,13288.1298828125,6387.39990234375,7810.6298828125
2013-04-11,1593.3699951171875,14865.1396484375,2859.070068359375,13549.16015625,6416.10009765625,7871.6298828125
2013-04-12,1588.8499755859375,14865.0595703125,2856.47998046875,13485.1396484375,6384.39990234375,7744.77001953125
2013-04-15,1552.3599853515625,14599.2001953125,2797.469970703125,13275.66015625,6343.60009765625,7712.6298828125
2013-04-16,1574.5699462890625,14756.7802734375,2838.409912109375,13221.4404296875,6304.60009765625,7682.580078125
2013-04-17,1552.010009765625,14618.58984375,2781.97998046875,13382.8896484375,6244.2001953125,7503.02978515625
2013-04-18,1541.6099853515625,14537.1396484375,2741.949951171875,13220.0703125,6243.7001953125,7473.72998046875
2013-04-19,1555.25,14547.509765625,2780.4599609375,13316.48046875,6286.60009765625,7459.9599609375
2013-04-22,1562.5,14567.169921875,2810.070068359375,13568.3701171875,6280.60009765625,7478.10986328125
2013-04-23,1578.780029296875,14719.4599609375,2835.3701171875,13529.650390625,6406.10009765625,7658.2099609375
2013-04-24,1578.7900390625,14676.2998046875,2834.1201171875,13843.4599609375,6431.7998046875,7759.02978515625
2013-04-25,1585.1600341796875,14700.7998046875,2848.659912109375,13926.080078125,6442.60009765625,7832.85986328125
2013-04-26,1582.239990234375,14712.5498046875,2840.550048828125,13884.1298828125,6426.39990234375,7814.759765625
2013-04-29,1593.6099853515625,14818.75,2866.949951171875,,6458.0,7873.5
2013-04-30,1597.5699462890625,14839.7998046875,2887.43994140625,13860.8603515625,6430.10009765625,7913.7099609375
2013-05-01,1582.699951171875,14700.9501953125,2873.35009765625,13799.349609375,6451.2998046875,
2013-05-02,1597.5899658203125,14831.580078125,2911.139892578125,13694.0400390625,6460.7001953125,7961.7099609375
2013-05-03,1614.4200439453125,14973.9599609375,2944.590087890625,,6521.5,8122.2900390625
2013-05-06,1617.5,14968.8896484375,2955.360107421875,,,8112.080078125
2013-05-07,1625.9599609375,15056.2001953125,2952.8798828125,14180.240234375,6557.2998046875,8181.77978515625
2013-05-08,1632.68994140625,15105.1201171875,2968.239990234375,14285.6904296875,6583.5,8249.7099609375
2013-05-09,1626.6700439453125,15082.6201171875,2961.1201171875,14191.48046875,6592.7001953125,8262.5498046875
2013-05-10,1633.699951171875,15118.490234375,2981.02001953125,14607.5400390625,6625.0,8278.58984375
2013-05-13,1633.77001953125,15091.6796875,2982.090087890625,14782.2099609375,6631.7998046875,8279.2900390625
2013-05-14,1650.3399658203125,15215.25,2996.050048828125,14758.419921875,6686.10009765625,8339.1103515625
2013-05-15,1658.780029296875,15275.6904296875,3002.6201171875,15096.0302734375,6693.60009765625,8362.419921875
2013-05-16,1650.469970703125,15233.2197265625,2999.340087890625,15037.240234375,6687.7998046875,8369.8701171875
2013-05-17,1667.469970703125,15354.400390625,3028.9599609375,15138.1201171875,6723.10009765625,8398.0
2013-05-20,1666.2900390625,15335.2802734375,3020.969970703125,15360.8095703125,6755.60009765625,8455.830078125
2013-05-21,1669.1600341796875,15387.580078125,3026.449951171875,15381.01953125,6803.89990234375,8472.2001953125
2013-05-22,1655.3499755859375,15307.169921875,2999.1298828125,15627.259765625,6840.2998046875,8530.8896484375
